
SPDR S&P 500 ETF Trust,Last: 395.94,Change:  6.28
"Date: March 27, 2021, 5:09 AM EDT",Bid: 395.6,Ask: 395.72,Size: 3*2,"Volume: 114,409,114"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Mar 26 2021,SPY210326C00190000,200.91,0,205.6,206.36,0,0.02,1,0,114,190.00,SPY210326P00190000,0.01,0,0,0.01,0,23.001,-0.0002,0,612
Fri Mar 26 2021,SPY210326C00195000,195.91,0,200.6,201.36,0,0.02,1,0,114,195.00,SPY210326P00195000,0.01,0,0,0.01,0,22.001,-0.0002,0,586
Fri Mar 26 2021,SPY210326C00200000,192.11,0,195.6,196.36,0,0.02,1,0,6,200.00,SPY210326P00200000,0.01,0,0,0.01,0,22.001,-0.0003,0,1789
Fri Mar 26 2021,SPY210326C00205000,185.57,0,190.6,191.36,0,0.02,1,0,99,205.00,SPY210326P00205000,0.01,0,0,0.01,0,20.7349,-0.0002,0,77
Fri Mar 26 2021,SPY210326C00210000,180.57,0,185.61,186.37,0,0.02,0.9996,0,99,210.00,SPY210326P00210000,0.02,0,0,0.01,0,20.001,-0.0002,0,41
Fri Mar 26 2021,SPY210326C00215000,175.68,0,180.6,181.36,0,0.02,1,0,100,215.00,SPY210326P00215000,0.01,0,0,0.01,0,20.001,-0.0003,0,1311
Fri Mar 26 2021,SPY210326C00220000,0,0,175.61,176.37,0,0.02,0.9997,0,0,220.00,SPY210326P00220000,0.02,0,0,0.01,0,18.579,-0.0002,0,147
Fri Mar 26 2021,SPY210326C00225000,0,0,170.61,171.37,0,0.02,1,0,0,225.00,SPY210326P00225000,0.01,0,0,0.01,0,18.001,-0.0003,0,102
Fri Mar 26 2021,SPY210326C00230000,0,0,165.61,166.37,0,0.02,1,0,0,230.00,SPY210326P00230000,0.01,0,0,0.01,0,18.001,-0.0004,0,143
Fri Mar 26 2021,SPY210326C00235000,156.02,0,160.61,161.36,0,0.02,1,0,20,235.00,SPY210326P00235000,0.02,0,0,0.01,0,16.5434,-0.0002,0,25
Fri Mar 26 2021,SPY210326C00240000,151.05,0,155.61,156.36,0,0.02,1,0,20,240.00,SPY210326P00240000,0.01,0,0,0.01,0,16.001,-0.0003,0,255
Fri Mar 26 2021,SPY210326C00245000,146.25,0,150.61,151.36,0,0.02,1,0,20,245.00,SPY210326P00245000,0.02,0,0,0.01,0,16.001,-0.0005,0,306
Fri Mar 26 2021,SPY210326C00250000,140.71,0,145.61,146.36,0,0.02,1,0,1,250.00,SPY210326P00250000,0.03,0,0,0.01,0,14.6008,-0.0003,0,565
Fri Mar 26 2021,SPY210326C00255000,135.71,0,140.61,141.36,0,0.02,1,0,1,255.00,SPY210326P00255000,0.01,0,0,0.01,0,14.001,-0.0003,0,483
Fri Mar 26 2021,SPY210326C00260000,130.88,0,135.62,136.35,0,0.02,1,0,2,260.00,SPY210326P00260000,0.01,0,0,0.01,0,14.001,-0.0005,0,550
Fri Mar 26 2021,SPY210326C00265000,124.88,0,130.62,131.35,0,0.02,1,0.0002,7,265.00,SPY210326P00265000,0.01,0,0,0.01,0,12.7492,-0.0003,0,409
Fri Mar 26 2021,SPY210326C00270000,119.03,0,125.62,126.35,0,0.02,1,0.0001,7,270.00,SPY210326P00270000,0.01,0.005,0,0.01,3,12.2969,-0.0003,0,496
Fri Mar 26 2021,SPY210326C00275000,114.68,0,120.62,121.35,0,0.02,1,0.0001,12,275.00,SPY210326P00275000,0.01,0,0,0.01,0,12.001,-0.0004,0,572
Fri Mar 26 2021,SPY210326C00280000,107.83,0,115.62,116.35,0,0.02,1,0.0003,144,280.00,SPY210326P00280000,0.01,0,0,0.01,0,11.001,-0.0003,0,1621
Fri Mar 26 2021,SPY210326C00285000,102.89,0,110.62,111.35,0,0.02,1,0.0011,15,285.00,SPY210326P00285000,0.01,0,0,0.01,0,10.4788,-0.0003,0,492
Fri Mar 26 2021,SPY210326C00290000,98.34,0,105.62,106.35,0,0.02,1,0.0011,10,290.00,SPY210326P00290000,0.01,0,0,0.01,0,10.001,-0.0003,0,1717
Fri Mar 26 2021,SPY210326C00295000,92.59,0,100.62,101.35,0,0.02,1,0.0012,10,295.00,SPY210326P00295000,0.01,0,0,0.01,0,10.001,-0.0006,0.0001,72
Fri Mar 26 2021,SPY210326C00300000,89.03,0,95.62,96.35,0,0.02,1,0.0012,83,300.00,SPY210326P00300000,0.01,0,0,0.01,0,9.2232,-0.0005,0.0001,13867
Fri Mar 26 2021,SPY210326C00305000,80.25,0,90.62,91.35,0,0.02,1,0.0013,8,305.00,SPY210326P00305000,0.03,0,0,0.01,0,9.004,-0.0007,0.0001,80
Fri Mar 26 2021,SPY210326C00310000,81.05,0,85.62,86.35,0,0.02,1,0.0005,1,310.00,SPY210326P00310000,0.01,0,0,0.01,0,8.001,-0.0004,0.0001,1481
Fri Mar 26 2021,SPY210326C00315000,73.35,0,80.62,81.35,0,0.02,1,0.0015,0,315.00,SPY210326P00315000,0.01,0,0,0.01,0,8.001,-0.0009,0.0001,1812
Fri Mar 26 2021,SPY210326C00320000,68.76,0,75.62,76.35,0,0.02,1,0.0016,0,320.00,SPY210326P00320000,0.01,0.005,0,0.01,16,7.3134,-0.0007,0.0001,43909
Fri Mar 26 2021,SPY210326C00325000,63.03,0,70.62,71.35,0,0.02,1,0.0017,12,325.00,SPY210326P00325000,0.01,0,0,0.01,0,6.73,-0.0007,0.0001,1232
Fri Mar 26 2021,SPY210326C00330000,59.83,0,65.62,66.35,0,0.02,1,0.0018,1,330.00,SPY210326P00330000,0.01,0.005,0,0.01,14,6.001,-0.0005,0.0001,8103
Fri Mar 26 2021,SPY210326C00335000,56.34,1.34,60.62,61.35,89,0.02,1,0.002,14,335.00,SPY210326P00335000,0.01,0,0,0.01,0,6.001,-0.0012,0.0002,3628
Fri Mar 26 2021,SPY210326C00340000,51.7,1.7,55.62,56.35,7,0.02,1,0.0022,11,340.00,SPY210326P00340000,0.01,0.005,0,0.01,12,5.2678,-0.0008,0.0001,19894
Fri Mar 26 2021,SPY210326C00345000,39.99,0,50.62,51.35,0,0.02,1,0.0024,16,345.00,SPY210326P00345000,0.01,0.005,0,0.01,2,4.664,-0.0006,0.0001,3936
Fri Mar 26 2021,SPY210326C00350000,39.13,0,45.62,46.35,0,0.02,1,0.0026,54,350.00,SPY210326P00350000,0.01,0.005,0,0.01,11,4.3257,-0.001,0.0002,4453
Fri Mar 26 2021,SPY210326C00352000,40.19,2.19,43.62,44.35,1,0.02,1,0.0027,27,352.00,SPY210326P00352000,0.01,0,0,0.01,0,4.001,-0.0007,0.0002,4647
Fri Mar 26 2021,SPY210326C00353000,34.62,0,42.62,43.35,0,0.02,1,0.0028,14,353.00,SPY210326P00353000,0.01,0,0,0.01,0,4.001,-0.0009,0.0002,823
Fri Mar 26 2021,SPY210326C00354000,36.31,0,41.62,42.35,0,0.02,1,0.0029,33,354.00,SPY210326P00354000,0.01,0.005,0,0.01,3,4.001,-0.0012,0.0003,1240
Fri Mar 26 2021,SPY210326C00355000,35.18,0,40.62,41.35,0,0.02,1,0.003,27,355.00,SPY210326P00355000,0.01,0.005,0,0.01,1,4.001,-0.0015,0.0003,6569
Fri Mar 26 2021,SPY210326C00356000,34.11,0,39.62,40.35,0,0.02,1,0.003,100,356.00,SPY210326P00356000,0.01,0,0,0.01,0,3.751,-0.001,0.0002,657
Fri Mar 26 2021,SPY210326C00357000,38.49,0,38.62,39.35,0,0.02,1,0.0019,0,357.00,SPY210326P00357000,0.01,0.005,0,0.01,2,3.7372,-0.0013,0.0003,1895
Fri Mar 26 2021,SPY210326C00357500,32.37,0,38.12,38.85,0,0.02,1,0.0031,0,357.50,SPY210326P00357500,0.01,0,0,0.01,0,3.709,-0.0014,0.0003,5603
Fri Mar 26 2021,SPY210326C00358000,28.2,0,37.62,38.35,0,0.02,1,0.0032,117,358.00,SPY210326P00358000,0.01,0,0,0.01,0,3.6845,-0.0015,0.0004,4503
Fri Mar 26 2021,SPY210326C00359000,27.87,0,36.62,37.35,0,0.02,0.9992,0.0002,0,359.00,SPY210326P00359000,0.01,0.005,0,0.01,2,3.6443,-0.0017,0.0004,864
Fri Mar 26 2021,SPY210326C00360000,31.62,1.63,35.62,36.35,35,0.02,1,0.002,95,360.00,SPY210326P00360000,0.01,0.005,0,0.01,2,3.4199,-0.0012,0.0003,10305
Fri Mar 26 2021,SPY210326C00361000,34.58,0,34.62,35.35,0,0.02,1,0.0024,0,361.00,SPY210326P00361000,0.01,0,0,0.01,0,3.3844,-0.0015,0.0004,1268
Fri Mar 26 2021,SPY210326C00362000,24.83,0,33.62,34.35,0,0.02,1,0.0035,5,362.00,SPY210326P00362000,0.01,0.005,0,0.01,5,3.1422,-0.001,0.0003,3446
Fri Mar 26 2021,SPY210326C00362500,25.7,0,33.12,33.85,0,0.02,0.999,0.0003,110,362.50,SPY210326P00362500,0.01,0.005,0,0.01,5,3.1271,-0.0011,0.0003,2201
Fri Mar 26 2021,SPY210326C00363000,22.81,0,32.62,33.35,0,0.02,1,0.0037,61,363.00,SPY210326P00363000,0.01,0.005,0,0.01,8,3.1137,-0.0012,0.0004,1719
Fri Mar 26 2021,SPY210326C00364000,27.76,1.755,31.62,32.35,1,0.02,0.9985,0.0004,98,364.00,SPY210326P00364000,0.01,0,0,0.01,0,3.0914,-0.0015,0.0004,1636
Fri Mar 26 2021,SPY210326C00365000,27.91,2.9,30.62,31.35,184,0.02,1,0.0043,42,365.00,SPY210326P00365000,0.01,-0.005,0,0.01,7,3.0739,-0.002,0.0006,15611
Fri Mar 26 2021,SPY210326C00366000,19.71,0,29.62,30.35,0,0.02,1,0.0038,18,366.00,SPY210326P00366000,0.01,-0.005,0,0.01,1,2.8248,-0.0012,0.0004,1609
Fri Mar 26 2021,SPY210326C00367000,20.97,0,28.62,29.35,0,0.02,1,0.0042,2,367.00,SPY210326P00367000,0.01,-0.005,0,0.01,4,2.811,-0.0017,0.0005,4686
Fri Mar 26 2021,SPY210326C00367500,22.12,0,28.12,28.85,0,0.02,1,0.0044,27,367.50,SPY210326P00367500,0.01,-0.005,0,0.01,2,2.8051,-0.0019,0.0006,670
Fri Mar 26 2021,SPY210326C00368000,24.65,2.64,27.62,28.35,2,0.02,0.9987,0.0004,27,368.00,SPY210326P00368000,0.01,-0.005,0,0.01,7,2.7999,-0.0022,0.0007,11912
Fri Mar 26 2021,SPY210326C00369000,19.12,0,26.62,27.35,0,0.02,1,0.0046,62,369.00,SPY210326P00369000,0.01,-0.005,0,0.01,19,2.5488,-0.0013,0.0005,3957
Fri Mar 26 2021,SPY210326C00370000,25.84,5.83,25.61,26.35,236,0.02,1,0.0048,129,370.00,SPY210326P00370000,0.01,-0.005,0,0.01,748,2.5397,-0.0019,0.0006,23287
Fri Mar 26 2021,SPY210326C00371000,21.07,2.06,24.62,25.35,228,0.02,0.9976,0.0008,90,371.00,SPY210326P00371000,0.01,-0.015,0,0.01,26,2.532,-0.0026,0.0009,3974
Fri Mar 26 2021,SPY210326C00372000,20.85,2.835,23.62,24.35,86,0.02,0.9987,0.0005,16,372.00,SPY210326P00372000,0.01,-0.015,0,0.01,121,2.4243,-0.0026,0.0009,18340
Fri Mar 26 2021,SPY210326C00372500,19.35,1.835,23.12,23.85,422,0.02,0.9984,0.0006,8,372.50,SPY210326P00372500,0.01,-0.015,0,0.01,835,2.3236,-0.0022,0.0008,3321
Fri Mar 26 2021,SPY210326C00373000,20.11,3.09,22.61,23.35,253,0.02,1,0.0059,157,373.00,SPY210326P00373000,0.01,-0.015,0,0.01,711,2.2433,-0.0019,0.0007,5120
